name,address,contacts,coords,category,lat,lon,schedule,query,city
Shymbulak Ski Resort,"ул. Горная 640, Алматы",+7 727 232 5969,"43.197,76.910",Горнолыжный курорт,,,,,
Eco Nomad Camp,Бурабай,+7 705 234 5678,"53.081,70.319",,,,,,
Alatau Guest House,,+7 708 345 6789,,Гостевой дом,,,,,
Luxury Glamping Almaty,"Каскелен, Алматинская область",,"43.178,76.730",Глэмпинг люкс,,,,,
Nomad Yurt Village,Туркестан,,"43.298,68.272",Юрты / Этно,,,,,
Green Valley Lodge,г. Караганда,,,Эко-гостиница,,,,,
Altai Mountains Basecamp,"ВКО, Катон-Карагай",+7 705 666 7788,,,,,,,
Lake Balkhash Resort,"Берег озера Балхаш, Карагандинская область",,"46.845,74.995",Туристическая база,,,,,
Nomad Eco Resort,,,+7 707 345 2234,Эко-глэмпинг,,,,,
Saryarka Camp,Кокшетау,,,,,,,,
Golden Steppe Hotel,,,+7 7172 44 55 66,,,,,,
Forest Harmony,"п. Щучинск, Бурабайский район",+7 700 987 6543,,Эко-отель,,,,,
Zerenda Park Resort,"с. Зеренда, Акмолинская область",,"52.920,69.125",Туристическая база,,,,,
Aul Heritage Complex,"Жамбылская область, Тараз",,,Этно-комплекс,,,,,
Dream Camp,"Астана, район Есиль",+7 705 999 9999,,,,,,,
Магазин спорттоваров «NomadSport»,"г. Алматы, ТРЦ Mega Park",+7 707 111 2222,"43.238,76.945",Магазин,,,,,
ТОО ЭкоТурСервис,,,,,,,,,
Hostel123,Астана,,+7 777 777 7777,Хостел,,,,,
ТОО Nomad Construction,г. Алматы,,,Строительная компания,,,,,
"Zoe, пекарня","Мясницкая street, 13 ст20",,,,55.763945,37.634077,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}}",кофейня,Алматы
Gussi Coffee,"Ленина avenue, 70",,,,56.481276,84.948916,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '23:00'}]}}",кофейня,Алматы
"Кофеstory, кофейня","Ленинский avenue, 25 к1",,,,69.350659,88.197185,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '23:00'}]}}",кофейня,Алматы
"Bloom coffee, кофейня","Мира avenue, 111",,,,56.010249,92.840574,"{'Fri': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Mon': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Sat': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Tue': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}, 'Wed': {'working_hours': [{'from': '07:30', 'to': '21:00'}]}}",кофейня,Алматы
